anno_idx,end,imdbid,start,text_gen,text_gt
846,279.732,tt0583574,278.935,"['Chandler looks at Joey.', 'Joey listens to Chandler.', 'Chandler talks to Joey.', 'They face each other.', 'Chandler addresses Joey.']",Joey nods.
847,284.434,tt0583574,280.628,"['Joey and Chandler run out of the room together, pointing at the table with a lamp.', 'Chandler and Joey exit the room, with Joey gesturing at something behind them.', 'The two friends, Joey and Chandler, rush out of the room, leaving a table with a lamp behind.', 'Joey and Chandler quickly leave the room, with Joey pointing at something as they exit.', 'Chandler and Joey hastily depart the room, with Joey briefly glancing back at the table with a lamp.']","At Central Perk, Phoebe sits on the couch with her guitar as Rachel tidies up."
848,292.93,tt0583574,291.87,"['Rachel sits down with Phoebe.', 'Phoebe plays guitar nearby Rachel.', 'Terry looks at Rachel seated.', 'Phoebe sings on the couch.', 'Rachel talks to Phoebe on couch.']",Rachel sits beside her.
849,323.955,tt0583574,322.014,"['Rachel walks towards the bar, looking at Phoebe.', 'Phoebe watches as Rachel approaches the bar.', 'Rachel approaches Phoebe, eyeing her guitar.', ""Phoebe gazes at Rachel, who's heading to the bar."", ""Rachel heads to the bar, catching Phoebe's attention.""]",Rachel stands and walks over to Terry.
850,379.671,tt0583574,377.129,"['Phoebe plays guitar for Rachel, who sings along.', 'Rachel sings while Phoebe strums the guitar.', ""Phoebe plays guitar, accompanied by Rachel's singing."", ""Rachel sings, with Phoebe's guitar providing harmony."", ""Phoebe's guitar riffs complement Rachel's melodious singing.""]",Terry shakes his head.
851,384.616,tt0583574,380.412,"['Rachel, Terry, and Chandler walk down the street with a stroller and a teddy bear.', 'Chandler holds a teddy bear and pushes a stroller with Rachel and Terry walking beside him.', 'Rachel, Terry, and Chandler stroll down the street, with Chandler carrying a baby and a teddy bear.', 'Chandler, Rachel, and Terry walk together, pushing a stroller and holding a teddy bear.', 'Rachel, Terry, and Chandler take a leisurely stroll, with Chandler carrying a baby and a teddy bear.']","Joey pushes a full stroller, and Chandler carries Ben and a large diaper bag."
852,403.783,tt0583574,402.783,"['Joey holds teddy bear, Chandler carries baby.', 'Chandler walks with baby, Joey beside.', 'Joey looks at Chandler with baby.', 'Chandler carries baby, Joey by his side.', 'Joey and Chandler stroll with baby.']",Chandler turns Ben.
853,453.065,tt0583574,450.903,"['Chandler holds a teddy bear, looking at the baby.', 'Joey watches as Chandler holds the teddy bear for the baby.', 'Chandler cradles a teddy bear, speaking to the baby.', ""Joey stands beside Chandler, who's holding a teddy bear."", 'Chandler holds a teddy bear, speaking to the baby, with Joey nearby.']",Joey smiles as Chandler flares it in.
854,454.846,tt0583574,453.285,"['Chandler holds a teddy bear to the baby.', 'Joey looks on as Chandler cradles the baby.', 'Chandler and Joey stand outside a store with a baby.', 'Chandler speaks to the baby, while Joey watches.', 'Joey observes Chandler holding a teddy bear and baby.']",Realization dawns on Joey.
855,465.72,tt0583574,464.939,"['Phoebe gestures to Rachel.', 'Rachel listens to Phoebe.', 'Phoebe talks to Rachel.', 'Phoebe looks at Rachel.', 'Phoebe and Rachel converse.']",Phoebe slumps.
856,832.664,tt0583574,829.782,"['Phoebe plays guitar, Stephanie stands beside her, and a person walks by.', 'Phoebe strums guitar, Stephanie watches, and a person walks by.', 'Stephanie stands beside Phoebe as she plays guitar, a passerby walks by.', 'Phoebe plays guitar, Stephanie looks on, as a person walks by.', 'Phoebe plays guitar, Stephanie observes, as a person walks by.']",Phoebe turns away as Stephanie heads inside with her guitar.
857,838.379,tt0583574,835.097,"['Phoebe plays the guitar while Stephanie walks towards her with a guitar case.', 'Stephanie walks towards Phoebe, carrying a guitar case, as Phoebe strums the guitar.', 'Phoebe plays her guitar as Stephanie approaches with a guitar case in hand.', ""Stephanie walks towards Phoebe, guitar case in tow, as Phoebe's fingers dance on the guitar."", ""Phoebe's fingers move deftly on the guitar as Stephanie walks towards her with a guitar case.""]",Stephanie turns and stares at a payphone.
858,863.472,tt0583574,862.812,"['Joey looks at Chandler.', 'Chandler stands beside Joey.', 'Joey glances at him.', 'Joey talks on phone.', 'Joey looks at him.']",Joey nods.
859,866.876,tt0583574,866.135,"['Joey talks on phone.', 'Chandler watches Joey.', 'Joey holds phone.', 'Chandler looks at Joey.', 'Joey talks to phone.']",At Central Perk.
860,879.498,tt0583574,876.477,"['Phoebe plays the guitar, looking at Rachel beside her.', 'Rachel stands next to Phoebe, who strums the guitar.', 'Phoebe plays the guitar, with Rachel and Stephanie observing.', 'Phoebe performs on her guitar, Rachel and Stephanie nearby.', 'The scene shows Phoebe playing guitar, Rachel and Stephanie watching.']","The cafe door opens, and people inside hear Phoebe playing."
861,886.6,tt0583574,883.679,"['Rachel Green stands outside a coffee shop with Stephanie nearby.', 'Stephanie stands beside Rachel Green outside a coffee shop with a sign.', 'Rachel Green and Stephanie stand outside a coffee shop with a microphone.', 'Rachel Green talks to someone outside a coffee shop with Stephanie nearby.', 'Rachel Green and Stephanie stand outside a coffee shop with a sign and microphone.']",Rachel moves off as Stephanie sits in front of a microphone.
862,908.969,tt0583574,907.948,"['Joey carries laundry basket.', 'Joey talks to a man.', 'Joey holds a teddy bear.', 'Joey walks with laundry.', 'Joey talks with a man.']",A worker jumps back.
863,918.151,tt0583574,917.631,"['Joey hugs Chandler.', 'Chandler is hugged.', 'Joey and Chandler hug.', 'They hug each other.', 'Joey holds Chandler.']",They hug.
864,924.052,tt0583574,921.731,"['Chandler holds a teddy bear, Joey a banana.', 'Chandler speaks, Joey looks at him, holding a banana.', 'Chandler holds a teddy bear, Joey beside him with a banana.', 'Chandler speaks, holding a teddy bear, Joey looks on.', 'Joey holds a banana, Chandler beside him with a teddy bear.']","They glance at each other, and the worker gives them a look."
865,933.171,tt0583574,929.107,"[""Chandler puts his arm around Joey's shoulder as they hold a teddy bear and yellow object."", 'Joey and Chandler smile at each other while holding a teddy bear and yellow object.', 'Chandler and Joey hold a teddy bear and yellow object, then run out of the office.', 'Chandler and Joey, holding a teddy bear and yellow object, exit the office together.', 'Joey and Chandler, holding a teddy bear and yellow object, share a smile and a shoulder pat.']","He puts his arm around Joey, and Joey puts his hand on Chandler's with a snile."
866,935.093,tt0583574,933.612,"['Chandler holds a teddy bear and baby carrier.', 'Joey and Chandler look at something together.', 'Chandler holds a teddy bear and baby carrier.', 'Chandler and Joey examine something.', 'They gaze at something in front of them.']",He rubs his head against Chandler's.
867,937.176,tt0583574,935.774,"['Chandler holds a teddy bear.', 'Joey gazes at the teddy bear.', 'Chandler speaks, holding the teddy bear.', 'Joey looks at the teddy bear nearby.', 'Chandler holds a cuddly teddy bear.']",Now they run into a nursery.
868,942.181,tt0583574,939.518,"['Chandler and Joey look at a baby in a crib.', 'Joey and Chandler gaze at the baby in the crib.', 'Chandler and Joey stare at the baby in the crib.', 'The two friends look at each other, then at the baby.', 'Chandler and Joey glance at each other, then at the baby.']","They each go to a different crib, then look at each other."
869,944.182,tt0583574,942.56,"['Chandler holds a baby in his arms.', 'Joey bends over the crib to look at the baby.', 'Chandler and Joey gaze at the baby together.', 'Chandler holds a baby on a colorful blanket.', 'Joey peers into the crib beside Chandler.']",The babies wear similar outfits.
870,640.287,tt0583481,637.28,"['Rachel reaches for a glass of water at the table.', 'Rachel walks towards the man on the phone at the table.', 'Rachel gets up from the table and approaches the man on the phone.', 'Rachel stands up and moves towards the man talking on the phone.', 'Rachel walks over to the man talking on the phone at the table.']",Rachel tries to draw the attention of a man on his cell phone.
871,674.477,tt0583481,672.162,"['Rachel looks at her phone, then at Joey.', ""Joey looks at Rachel's phone, then back at her."", 'Rachel picks up her phone, then puts it down.', 'Rachel looks at her phone, then Joey looks at it.', ""Joey looks at Rachel's phone, then looks back at her.""]",He hangs up and hands the phone over to Rachel.
872,676.469,tt0583481,675.006,"['Rachel takes her phone to her ear.', 'Rachel holds the phone to her ear.', 'Rachel puts her phone to her ear.', 'Rachel answers the phone call.', 'Rachel talks on her phone.']",She raises her brows at Michael.
873,682.463,tt0583481,680.268,"['Rachel holds phone to her ear, talking to him.', 'Rachel talks on phone while gazing at him.', 'Rachel looks at him while speaking on phone.', 'Rachel talks to him on her phone.', 'Rachel has a phone conversation with the man.']",Rachel dials the number and waits for an answer.
874,728.063,tt0583481,725.868,"['Rachel puts down the phone and talks to him.', 'Rachel talks to the man at the table, hands raised.', 'Rachel hangs up and converses with the table man.', 'Rachel talks to him, his hands in the air.', 'Rachel ends the call and chats with the table occupant.']",She dumps the cell phone into the ice bucket.
875,730.501,tt0583481,728.57,"['Rachel laughs and waves her hands.', 'Rachel and the man laugh and gesture.', 'Rachel and the man wave their hands in laughter.', 'Rachel and the man laugh and wave.', 'Rachel and the man laugh, waving hands.']",Michael flags down the waiter for the check.
876,736.016,tt0583481,734.37,"['Chandler sits with wine and food.', 'Chandler holds a glass of wine.', 'Chandler looks at his plate.', 'Chandler sits with a full plate.', 'Chandler sips his wine slowly.']",Monica knocks on Chandler's door.
877,740.001,tt0583481,738.984,"['Chandler walks into room.', 'Chandler looks at Monica.', 'Monica and Chandler stand together.', 'Chandler enters the room.', 'Chandler faces Monica.']",He's in his bathrobe.
878,778.638,tt0583481,777.947,"['Monica dances, eyes on Rachel.', 'Rachel sips water, watching Monica.', 'Monica twirls, apron on.', 'Rachel sits, holding water bottle.', 'Monica glances at Rachel.']",Ross arrives.
879,816.643,tt0583481,814.901,"['Ross walks towards Rachel, holding a cup.', 'Rachel stands up, looking at Ross, holding water.', 'Ross approaches Rachel, cup in hand, as she rises.', ""Rachel looks up at Ross, who's holding a cup."", 'Ross and Rachel interact, he with a cup, she with water.']",Ross crosses the room to the toys.
880,832.739,tt0583481,829.095,"['Rachel walks into the room, turns around, and exits, while Ross talks on the phone.', 'Ross talks on the phone as Rachel enters, glances at him, and leaves the room.', 'Rachel walks into the room, turns around, and exits, while Ross is on the phone.', 'Ross talks on the phone as Rachel enters, looks at him, and exits the room.', 'Rachel enters, looks at Ross, and exits the room as he talks on the phone.']","She heads into her bedroom, drinking water while Ross calls his machine."
881,838.185,tt0583481,835.862,"['Rachel walks into the room, looking at Ross.', 'Rachel enters, her gaze fixed on Ross on the phone.', 'Ross talks on the phone as Rachel enters the room.', 'Rachel walks in, spotting Ross on the phone.', 'Rachel enters, looking surprised at Ross on the phone.']","Rachel bolts back into the room, terrified."
882,851.056,tt0583481,847.832,"['Ross carries Rachel on his back, phone in hand, in the kitchen.', 'Rachel looks at Ross as he talks on the phone, carrying her on his back.', 'Ross holds Rachel on his back, phone in hand, in the kitchen.', 'Ross talks on the phone while carrying Rachel on his back in the kitchen.', 'Ross carries Rachel on his back, phone in hand, as they stand near the kitchen counter.']",Rachel jumps on Ross's back and wrestles the phone away from him.
883,853.959,tt0583481,851.596,"['Ross carries Rachel on his back to the counter.', 'Ross puts Rachel on the counter, where she stands.', 'Rachel stands on the counter, talking to Ross.', 'Ross carries Rachel to the counter, then talks to someone.', 'Ross puts Rachel on the counter, then talks to another person.']","She throws it into the sink, clinging on to him."
884,866.834,tt0583481,864.331,"['Ross looks around the kitchen setting.', 'Ross stands in the kitchen, surveying the space.', 'Ross is seen standing in the kitchen, taking it in.', 'Ross looks around the kitchen, taking note of the appliances.', 'Ross examines the kitchen, cabinets and all.']",Ross watches Rachel lie face down on the couch.
885,877.169,tt0583481,874.186,"['Ross sits on the couch and talks to a woman.', 'Ross lies on the couch, discussing something with a woman.', 'Ross is on the couch, conversing with a woman, with a lamp nearby.', 'Ross talks to a woman while lying on the couch.', 'Ross has a conversation with a woman, reclining on the couch.']","Rachel writhes in anguish on the couch, hiding her face."
886,958.366,tt0583481,955.542,"['Ross points at something with his right hand, as Rachel looks at him.', 'Rachel looks at Ross, who is pointing at something with his right hand.', ""Ross gestures with his right hand, while Rachel's face is turned towards him."", ""Rachel's face is focused on Ross, who is pointing at something with his right hand."", ""Ross points at something with his right hand, as Rachel's eyes are on him.""]","Together, they blink in disbelief at the intercom."
887,999.223,tt0583481,997.219,"['Rachel looks at the television screen.', ""Rachel's eyes are fixed on the TV."", 'Rachel watches the TV with attention.', 'Rachel is absorbed in the TV show.', 'Rachel focuses on the TV program.']",Rachel despondently closes the door.
888,1004.372,tt0583481,1000.245,"['Rachel walks into an apartment, entering through a door.', 'Rachel enters an apartment, stepping through a doorway.', 'Rachel approaches an apartment door and opens it to enter.', 'Rachel walks up to a door and enters an apartment.', 'Rachel walks into an apartment, opening a door and entering.']","Across the hall, Joey watches a Hasidic band playing rock music on TV."
889,1005.374,tt0583481,1004.673,"['Ross looks at Rachel.', 'Rachel watches TV.', 'Ross talks to Rachel.', 'Rachel looks at Ross.', 'TV shows a band.']",Phoebe arrives.
890,602.662,tt0583625,600.505,"['Rachel eats a cookie, while Phoebe talks to her.', 'Phoebe takes a cookie, then chats with Rachel.', 'Phoebe shares a cookie with Rachel, chatting.', 'Rachel and Phoebe munch on cookies together.', 'Phoebe talks and eats a cookie with Rachel.']",Phoebe and Rachel both try one of the cookies.
891,610.336,tt0583625,609.209,"['Monica eats cake, Phoebe wipes mouth.', 'Phoebe eats cake, Monica glances.', 'Monica and Phoebe eat cake.', 'Phoebe wipes her mouth with a napkin.', 'Monica and Phoebe share a snack.']",They spit out the cookies.
892,616.073,tt0583625,614.965,"['Monica walks to the fridge, then back.', 'Phoebe drinks and walks to the fridge.', 'Monica opens and closes the fridge.', 'Phoebe and Monica walk to the fridge.', 'Monica and Phoebe go back and forth.']",Rachel chugs water.
893,619.555,tt0583625,616.726,"['Monica talks on the phone, while Rachel eats a cookie.', 'Phoebe talks to Monica, as Rachel takes a bite of a cookie.', 'Monica chats on the phone, while Phoebe joins the conversation.', 'Rachel savors a cookie, as Monica and Phoebe engage in a discussion.', 'Monica and Phoebe chat, as Rachel indulges in a tasty cookie.']","Meanwhile, Chandler pounds on his printer while on the phone."
894,681.686,tt0583625,677.649,"['Ross stands and talks to Joey, who sits and listens.', 'Ross talks to Rachel as she stands, both near a poster on the wall.', 'Ross discusses something with Joey, who remains seated, near a poster.', 'Ross engages in conversation with Joey, who listens attentively, near a poster.', 'Ross talks to Joey, who sits, while a poster hangs on the wall behind them.']","Joey can't stop smiling and nodding at Rachel, which confuses her even further."
895,683.229,tt0583625,682.181,"['Ross stands and talks to Joey.', 'Joey sits as Ross talks to him.', 'Rachel stands, speaking off-screen.', 'Ross talks to Joey nearby a poster.', 'Joey listens to Ross near a poster.']",He tries to tone it down.
896,709.897,tt0583625,705.754,"['Rachel kisses Ross on the cheek, and he hugs her back.', 'Ross looks at Rachel after she kisses him on the cheek.', 'Ross hugs Rachel, and then looks at her with affection.', 'Rachel kisses Ross, and he reciprocates with a hug.', 'Ross hugs Rachel, followed by a brief gaze at her.']","Ross and Rachel share a long, affectionate hug as Chandler and Joey watch."
897,728.632,tt0583625,727.191,"['Ross hugs Rachel, then walks away.', 'Joey and Chandler watch Ross hug Rachel.', 'Ross gives Rachel a hug, then exits.', 'Rachel smiles as Ross hugs her.', 'Ross and Rachel share a brief hug.']",He faces Rachel.
898,740.907,tt0583625,739.666,"['Ross looks at Chandler as Rachel enters the room.', 'Rachel walks in and joins Ross and Chandler.', 'Ross and Chandler gaze at each other as Rachel enters.', 'Rachel enters the room where Ross and Chandler are seated.', 'Ross and Chandler turn to look at Rachel as she enters.']",Ross goes across the hall.
899,743.929,tt0583625,741.447,"['Rachel walks out, turns, and re-enters the room.', 'Rachel exits, then re-enters the room, looking around.', 'Rachel leaves, turns, and returns to the room.', 'Rachel walks out, turns, and walks back in.', 'Rachel exits, turns, and re-enters the room, looking around.']",Rachel does a celebratory dance with Chandler and Joey.
900,756.879,tt0583625,755.378,"['Rachel sits down on the couch.', 'Joey stands up to talk to Rachel.', 'Rachel and Joey sit together on the couch.', 'Rachel enters the room to talk to Joey.', 'Joey gets up from the couch to chat with Rachel.']",Chandler slams his laptop shut.
901,766.131,tt0583625,765.111,"['Chandler stands in front of Rachel.', 'Chandler talks to Rachel.', 'Rachel stands before Chandler.', 'Chandler and Rachel converse.', 'Rachel faces Chandler.']",He snatches the paper.
902,797.513,tt0583625,797.013,"['Chandler holds paper.', 'Ross and Joey stare.', 'Chandler shows paper.', 'Rachel watches them.', 'Chandler puts paper away.']",And it was hot.
903,855.168,tt0583625,853.086,"['Ross hands a shirt to Chandler, who hands it to Rachel.', 'Chandler hands a shirt to Rachel, who looks at it.', 'Ross hands a shirt to Chandler, who gives it to Rachel.', 'Rachel looks at a shirt handed to her by Chandler.', 'Chandler gives a shirt to Rachel, who examines it.']","He passes it to Ross, who gives it to Joey."
904,867.575,tt0583625,865.634,"['Rachel reads a piece of paper.', 'Rachel holds a paper in her hand.', 'Rachel reads from a sheet of paper.', 'Rachel examines a written document.', 'Rachel looks at a written message.']",She dodges past a couch and reads it.
905,877.581,tt0583625,875.119,"['Ross points at Rachel while talking to her.', 'Rachel holds a piece of paper as Ross talks to her.', 'Ross gestures to Rachel, who holds a paper.', 'Rachel holds a paper as Ross talks to her.', 'Ross talks to Rachel, pointing at a piece of paper she holds.']",Chandler and Joey pat Ross on the back and hurry out.
906,988.173,tt0583625,985.951,"['Chandler holds a box while talking to Monica and Rachel.', 'Monica holds a box as she talks to Chandler and Rachel.', 'Chandler and Monica discuss something with Rachel nearby.', 'Monica talks to Chandler and Rachel while holding a box.', 'Rachel listens as Chandler and Monica converse with a box present.']","At night, Rachel sits alone on the couch."
907,991.595,tt0583625,988.753,"['Monica holds a yellow box while talking to Chandler and Rachel.', 'Chandler talks to Monica and Rachel as she holds a yellow box.', 'Monica holds a yellow box in conversation with Chandler and Rachel.', 'Chandler and Rachel converse with Monica, who holds a yellow box.', 'Monica holds a yellow box while in a conversation with Chandler and Rachel.']","Listening to the pouring rain, she eats a box of cookies."
908,995.417,tt0583625,992.415,"['Rachel Green sips from a yellow cup and then discards it.', 'Rachel Green holds a yellow cup and then sets it aside.', 'Rachel Green takes a sip from a yellow cup, then throws it away.', 'Rachel Green drinks from a yellow cup and then disposes of it.', 'Rachel Green sips from a yellow cup before leaving it behind.']","She shakes the box for the last one, which falls into her lap."
909,1000.601,tt0583625,996.158,"['Rachel sits on the couch, eating a snack from a bowl on the table.', 'Rachel holds a snack and sits on the couch, with a bowl of snacks nearby.', 'Rachel eats a snack from a bowl on the table while sitting on the couch.', 'Rachel sits on the couch, munching on a snack from a nearby bowl.', 'Rachel eats a snack on the couch, with a bowl of snacks in front of her.']","She bites into it, unaware that Ross is climbing her fire escape holding an umbrella."
910,1033.684,tt0583625,1032.963,"['Monica and Joey enter with bags.', 'Chandler holds a paper.', 'Monica and Joey carry bags.', 'Joey and Monica enter with bags.', 'Chandler examines a paper.']",The others arrive.
911,1044.361,tt0583625,1043.221,"['Ross looks out the window.', 'Ross gazes out the window.', 'Ross stares out the window.', 'Ross examines the window.', 'Ross looks at the window.']",Joey opens the curtain.
912,1062.555,tt0583625,1059.933,"['Monica looks at Ross as he wipes his nose with a tissue.', 'Ross wipes his nose with a tissue while Monica talks to him.', 'Monica talks to Ross while he blows his nose with a tissue.', 'Ross blows his nose with a tissue as Monica converses with him.', 'Monica engages Ross in conversation as he wipes his nose with a tissue.']",Ross runs over to Rachel's closed door and knocks.
913,1107.795,tt0583625,1106.094,"['Monica looks at Ross standing together.', 'Ross listens to Monica speaking.', 'Monica and Ross stand in a doorway.', 'Monica addresses Ross in a doorway.', 'Ross faces Monica in the doorway.']",The other stopped creeping toward the door.
914,1127.037,tt0583625,1125.317,"['Ross looks at Rachel, who looks away.', ""Rachel ignores Ross's gaze."", 'Ross gazes at Rachel, who averts her eyes.', ""Ross's eyes are on Rachel, who looks away."", ""Ross's attention is on Rachel, who looks elsewhere.""]",Rachel closes the door in his face.
915,1132.219,tt0583625,1128.058,"['Ross holds a paper, looking at Rachel, who stands in front of him.', 'Rachel stands before Ross, who holds a paper and looks at her.', 'Ross looks at Rachel, holding a piece of paper in his hand.', 'Rachel stands in front of Ross, who examines a paper.', 'Ross holds a paper, gazing at Rachel, who faces him.']","He trudges over to the coffee table and collapses onto it, still soaking wet."
916,1139.202,tt0583625,1133.06,"[""Ross sits down and reads a piece of paper, catching Phoebe's attention."", 'Phoebe looks at Ross as he reads a piece of paper in the living room.', 'Ross sits down and begins to read a piece of paper, his focus held by the words on the page.', 'Phoebe watches as Ross sits down and starts to read a piece of paper in the living room.', 'Ross sits down and becomes engrossed in a piece of paper, his eyes scanning the words.']","He stares into the distance, despondent, and Chandler, Monica, Joey, and Phoebe wait uncertainly behind him."
917,1146.474,tt0583625,1145.414,"['Chandler looks at Phoebe.', 'Joey gazes at Chandler.', 'Ross and Joey stare at Chandler.', 'Phoebe looks at Chandler.', 'The friends look at Chandler.']",Ross glowers at him.
918,1153.177,tt0583625,1148.915,"['Green holds a paper and looks at blue, while red looks at green.', ""Blue is the focus of pink's and green's attention, as they discuss something."", 'Red talks to green, who holds a paper, while pink observes the conversation.', 'Pink and green examine a paper together, with blue also present.', 'Green and pink discuss something, with blue watching, as they both hold papers.']","The next day at the office, Monica pitches her makhlet recipes to Mr. Rastatter."
919,1246.289,tt0583625,1242.648,"['Monica walks towards Rachel, who looks up from the couch.', 'Monica approaches Rachel, who gazes at her as she walks.', 'Monica walks over to Rachel, who looks up at her.', 'Rachel looks up as Monica approaches her on the couch.', 'Monica gets up and walks over to Rachel, who turns to her.']","Monica crosses to the radio, turns it on, and finds the station."
920,1248.929,tt0583625,1247.169,"['Rachel walks towards Ross, who sits on the couch.', 'Monica looks at something in her hand on the couch.', 'Rachel approaches Ross, who sits on the couch.', 'Monica holds something on the couch.', 'Rachel gets up and walks to Ross on the couch.']",She and Rachel wait for a song to end.
921,1281.351,tt0583625,1278.388,"['Rachel takes the phone to her ear.', 'Rachel picks up the phone and holds it.', 'Rachel lifts the phone to her ear.', 'Rachel grasps the phone and puts it to her ear.', 'Rachel holds the phone up to her ear.']","Ross sags into the couch, feeling the lyrics."
922,1283.773,tt0583625,1281.671,"['Rachel puts down a red box, then looks up at Monica.', 'Monica watches Rachel put down a red box.', 'Rachel sets a red box down, then glances at Monica.', 'Monica observes Rachel placing a red box on the couch.', ""Rachel sets the red box down, then meets Monica's gaze.""]",Rachel sits up and reaches for her phone.
923,1303.661,tt0583625,1302.72,"['Monica looks at Ross.', 'Ross looks back at Monica.', 'Monica and Ross sit together.', 'They gaze at each other.', 'Monica and Ross sit on the couch.']",He slumps over.
924,1307.922,tt0583625,1304.461,"['Monica sits on the couch, looking at Rachel standing in the doorway.', 'Rachel enters the room, with Monica gazing at her from the couch.', 'Monica looks up at Rachel, who is standing in the doorway.', ""Rachel stands in the doorway, with Monica's eyes fixed on her from the couch."", ""Monica's gaze meets Rachel's as she enters the room.""]","Monica retreats to her bedroom, leaving Rachel listening to the radio."
925,73.137,tt0583537,71.828,"['Monica picks something up.', 'Ross approaches Monica.', 'Monica and Ross walk towards each other.', 'Monica and Ross exchange glances.', 'They walk in tandem.']",Their newspaper is crumpled up.
926,137.613,tt0583537,135.056,"['Chandler holds a cup of coffee and talks to Joey.', 'Monica reads a book on the floor, while Joey and Chandler chat.', 'Joey and Chandler sit on the couch, sipping coffee and conversing.', 'Chandler and Joey talk as they sit on the couch with coffee.', 'Joey and Chandler discuss something on the couch, both holding coffee cups.']","At Central Perk, Monica, Chandler, and Joey hang out."
927,147.9,tt0583537,146.75,"['Monica reads a magazine.', 'Chandler puts his feet on the table.', ""Monica looks at Chandler's newspaper."", 'Chandler reads the newspaper.', ""Monica observes Chandler's newspaper reading.""]",Chandler reads a magazine.
928,152.955,tt0583537,152.181,"['Monica reads a book.', 'Ross talks to Monica.', 'Ross reads a newspaper.', 'Monica looks at Ross.', 'Ross holds a newspaper.']",Ross walks in.
929,156.938,tt0583537,155.392,"['Ross takes coffee beans from the counter.', 'Ross walks away with a bag of beans.', 'Rachel hands Ross a bag of coffee.', 'Ross gets a bag of coffee beans.', 'Ross receives a bag of coffee from her.']",He sets Macy's bags on the counter.
930,163.281,tt0583537,161.517,"['Ross looks at Rachel, holding a red bag.', 'Rachel holds a red bag and a cup.', 'Ross looks at Rachel, who holds a red bag.', 'Rachel holds a red bag and cup, gazing at Ross.', 'Ross and Rachel interact, holding a red bag.']",He pulls out a gift bag and she glares.
931,175.755,tt0583537,174.348,"['Ross holds a glass while talking to Rachel.', 'Rachel listens as Ross talks with a glass.', 'Ross looks at Rachel while holding a glass.', 'Rachel looks at Ross as he talks with a glass.', 'Ross talks to Rachel, holding a glass.']",She gives back a blank stare.
932,178.511,tt0583537,177.758,"['Ross looks at Rachel.', 'Rachel listens to Ross.', 'Ross gazes at Rachel.', 'Rachel faces Ross.', 'They stare at each other.']",He sets it down.
933,189.712,tt0583537,187.888,"['Rachel stands before Ross, looking at him.', 'Ross talks to Rachel, who listens intently.', 'Rachel and Ross converse near a counter.', 'Ross stands before Rachel, discussing something.', 'Rachel and Ross interact near a counter.']",She picks up a coffee pot and leaves.
934,238.708,tt0583537,237.558,"['Monica looks at Chandler.', 'Chandler listens to Monica.', 'Monica gazes at Chandler.', 'Chandler focuses on Monica.', 'Monica and Chandler face each other.']",He snatches the shirt away.
935,272.928,tt0583537,271.887,"['Monica hands Rachel a sweater.', 'Monica talks to Rachel, holding a sweater.', 'Chandler looks at a tablet screen.', 'Monica gives Rachel a sweater.', 'Monica hands Rachel a sweater.']",Phoebe takes out her wallet.
936,303.893,tt0583537,302.212,"['Rachel walks towards the camera, joining friends.', 'Monica stands next to Chandler, looking at him.', 'Chandler sits on the couch, surrounded by friends.', 'Rachel and friends gather around the Christmas tree.', 'Friends sit on the couch, surrounded by festive decorations.']",The group watches Phoebe hurry out.
937,317.575,tt0583537,315.736,"['Chandler sits, holding a cup, talking to Monica and Ross.', 'Monica stands behind Chandler, listening to his conversation.', 'Rachel sits on the couch, looking at Chandler as he talks.', 'Chandler holds a cup, speaking to Monica and Ross nearby.', 'Monica and Ross listen as Chandler sits with a cup.']",Frances Buffay reads the obituaries.
938,324.937,tt0583537,324.257,"['She reads the paper.', 'He enters the room.', 'She writes in book.', 'He talks to her.', 'She holds the book.']",Phoebe enters.
939,440.317,tt0583537,439.917,"['Phoebe talks to her mother.', ""Phoebe's mother nods back."", 'Phoebe and her mother converse.', 'They sit together.', 'Phoebe chats with her mom.']",That... and this.
940,464.961,tt0583537,463.62,"['Phoebe shows the card to her.', 'Phoebe receives a mysterious card.', 'Phoebe opens a card.', 'Phoebe displays a card.', 'Phoebe holds up a card.']",Phoebe stares at the photo.
941,467.762,tt0583537,466.721,"['Phoebe looks at a card.', 'Chandler decorates the tree.', 'Phoebe watches Chandler decorate.', 'Chandler takes a card.', 'Phoebe examines a card.']",At Monica and Rachel's.
942,489.698,tt0583537,488.458,"['Chandler decorates the tree.', 'Rachel stands beside him.', 'Chandler steps away from tree.', 'Rachel talks to Chandler.', 'Chandler talks to Rachel again.']",Joey and Rachel stare.
943,491.078,tt0583537,489.978,"['Monica enters, Ross hangs an ornament.', 'Ross hangs an ornament, Monica watches.', 'Monica enters, Ross decorates the tree.', 'Ross decorates the tree, Monica observes.', 'Monica enters, Ross adds a decoration.']",Monica and Ross arrive.
944,506.784,tt0583537,504.203,"['Joey holds ornaments and puts them on the tree with Monica.', 'Monica and Joey put ornaments on the Christmas tree together.', 'Joey and Monica decorate the tree with ornaments from the bag.', 'Monica and Joey hang ornaments on the Christmas tree side by side.', 'Joey and Monica put on ornaments on the tree, filling it with festive decorations.']","Monica and Ross blink at him, then unload their groceries."
945,523.141,tt0583537,522.06,"['Chandler looks at Joey.', 'Monica gazes directly.', 'Joey looks at Chandler.', 'Chandler and Joey share a glance.', 'Monica focuses on Joey.']",Monica purses her lips.
